Year,Age_Group,Gender,Education_Level,Samples,Income
1992,45 to 54 years,Male,Doctorate Degree,247,75486
1992,55 to 64 years,Male,Doctorate Degree,137,66066
1992,65 years and over,Male,Doctorate Degree,NA,NA
1992,18 to 24 years,Female,Doctorate Degree,NA,NA
1992,25 to 34 years,Female,Doctorate Degree,NA,NA
1992,35 to 44 years,Female,Doctorate Degree,84,49028
1992,45 to 54 years,Female,Doctorate Degree,84,48007
1992,55 to 64 years,Female,Doctorate Degree,NA,NA
1992,65 years and over,Female,Doctorate Degree,NA,NA
1992,18 to 24 years,Male,9th to 12th Grade (no diploma),507,14101
1992,25 to 34 years,Male,9th to 12th Grade (no diploma),1004,19054
1992,35 to 44 years,Male,9th to 12th Grade (no diploma),788,23059
1992,45 to 54 years,Male,9th to 12th Grade (no diploma),652,25980
1992,55 to 64 years,Male,9th to 12th Grade (no diploma),500,28888
1992,65 years and over,Male,9th to 12th Grade (no diploma),66,25176
1992,18 to 24 years,Female,9th to 12th Grade (no diploma),166,12818
1992,25 to 34 years,Female,9th to 12th Grade (no diploma),461,14809
1992,35 to 44 years,Female,9th to 12th Grade (no diploma),404,14136
1992,45 to 54 years,Female,9th to 12th Grade (no diploma),461,16756
1992,55 to 64 years,Female,9th to 12th Grade (no diploma),278,15223
1992,65 years and over,Female,9th to 12th Grade (no diploma),NA,NA
1992,18 to 24 years,Male,"Some College, No Degree",890,16217
1992,25 to 34 years,Male,"Some College, No Degree",2575,28118
1992,35 to 44 years,Male,"Some College, No Degree",2817,35219
1992,45 to 54 years,Male,"Some College, No Degree",1815,39762
1992,55 to 64 years,Male,"Some College, No Degree",737,38804
1992,65 years and over,Male,"Some College, No Degree",121,37637
1992,18 to 24 years,Female,"Some College, No Degree",818,14493
1992,25 to 34 years,Female,"Some College, No Degree",1988,21481
1992,35 to 44 years,Female,"Some College, No Degree",2094,23408
1992,45 to 54 years,Female,"Some College, No Degree",1284,25425
1992,55 to 64 years,Female,"Some College, No Degree",480,25929
1992,65 years and over,Female,"Some College, No Degree",NA,NA
1993,18 to 24 years,Male,Less than 9th Grade,178,11045
1993,25 to 34 years,Male,Less than 9th Grade,422,15860
1993,35 to 44 years,Male,Less than 9th Grade,425,18123
1993,45 to 54 years,Male,Less than 9th Grade,475,20085
1993,55 to 64 years,Male,Less than 9th Grade,360,21994
1993,65 years and over,Male,Less than 9th Grade,107,14939
1993,18 to 24 years,Female,Less than 9th Grade,NA,NA
1993,25 to 34 years,Female,Less than 9th Grade,131,11878
1993,35 to 44 years,Female,Less than 9th Grade,189,13040
1993,45 to 54 years,Female,Less than 9th Grade,221,13377
1993,55 to 64 years,Female,Less than 9th Grade,165,13504
1993,65 years and over,Female,Less than 9th Grade,NA,NA
1993,18 to 24 years,Male,High School Graduate (includes equivalency),1825,16299
1993,25 to 34 years,Male,High School Graduate (includes equivalency),5015,25532
1993,35 to 44 years,Male,High School Graduate (includes equivalency),4552,31675
1993,45 to 54 years,Male,High School Graduate (includes equivalency),3167,35783
1993,55 to 64 years,Male,High School Graduate (includes equivalency),1614,32216
1993,65 years and over,Male,High School Graduate (includes equivalency),251,24011
1993,18 to 24 years,Female,High School Graduate (includes equivalency),1083,14774
1993,25 to 34 years,Female,High School Graduate (includes equivalency),2960,19151
1993,35 to 44 years,Female,High School Graduate (includes equivalency),3328,21821
1993,45 to 54 years,Female,High School Graduate (includes equivalency),2646,21471
1993,55 to 64 years,Female,High School Graduate (includes equivalency),1365,21548
1993,65 years and over,Female,High School Graduate (includes equivalency),206,20757
1993,18 to 24 years,Male,Associate Degree,206,19321
1993,25 to 34 years,Male,Associate Degree,1152,31355
1993,35 to 44 years,Male,Associate Degree,1387,36679
1993,45 to 54 years,Male,Associate Degree,736,40627
1993,55 to 64 years,Male,Associate Degree,246,39721
1993,65 years and over,Male,Associate Degree,NA,NA
1993,18 to 24 years,Female,Associate Degree,288,17427
1993,25 to 34 years,Female,Associate Degree,1114,23990
1993,35 to 44 years,Female,Associate Degree,1039,28542
1993,45 to 54 years,Female,Associate Degree,647,27883
1993,55 to 64 years,Female,Associate Degree,222,25102
1993,65 years and over,Female,Associate Degree,NA,NA
1993,18 to 24 years,Male,Bachelor's Degree,308,26056
1993,25 to 34 years,Male,Bachelor's Degree,2909,40345
1993,35 to 44 years,Male,Bachelor's Degree,3274,51794
1993,45 to 54 years,Male,Bachelor's Degree,2063,58584
1993,55 to 64 years,Male,Bachelor's Degree,756,54555
1993,65 years and over,Male,Bachelor's Degree,175,54315
1993,18 to 24 years,Female,Bachelor's Degree,379,21493
1993,25 to 34 years,Female,Bachelor's Degree,2305,30256
1993,35 to 44 years,Female,Bachelor's Degree,1893,33615
1993,45 to 54 years,Female,Bachelor's Degree,1138,36026
1993,55 to 64 years,Female,Bachelor's Degree,363,41744
1993,65 years and over,Female,Bachelor's Degree,NA,NA
1993,18 to 24 years,Male,Master's Degree,NA,NA
1993,25 to 34 years,Male,Master's Degree,546,44206
1993,35 to 44 years,Male,Master's Degree,1145,60360
1993,45 to 54 years,Male,Master's Degree,1013,68207
1993,55 to 64 years,Male,Master's Degree,366,57183
1993,65 years and over,Male,Master's Degree,NA,NA
1993,18 to 24 years,Female,Master's Degree,NA,NA
1993,25 to 34 years,Female,Master's Degree,449,36708
1993,35 to 44 years,Female,Master's Degree,837,45677
1993,45 to 54 years,Female,Master's Degree,644,40423
1993,55 to 64 years,Female,Master's Degree,212,39233
1993,65 years and over,Female,Master's Degree,NA,NA
1993,18 to 24 years,Male,Professional Degree,NA,NA
1993,25 to 34 years,Male,Professional Degree,199,56004
1993,35 to 44 years,Male,Professional Degree,469,109786
1993,45 to 54 years,Male,Professional Degree,351,149786
1993,55 to 64 years,Male,Professional Degree,153,112745
1993,65 years and over,Male,Professional Degree,NA,NA
1993,18 to 24 years,Female,Professional Degree,NA,NA
1993,25 to 34 years,Female,Professional Degree,79,51419
1993,35 to 44 years,Female,Professional Degree,149,69372
1993,45 to 54 years,Female,Professional Degree,NA,NA
1993,55 to 64 years,Female,Professional Degree,NA,NA
1993,65 years and over,Female,Professional Degree,NA,NA
1993,18 to 24 years,Male,Doctorate Degree,NA,NA
1993,25 to 34 years,Male,Doctorate Degree,131,56873
1993,35 to 44 years,Male,Doctorate Degree,229,82081
1993,45 to 54 years,Male,Doctorate Degree,298,104205
1993,55 to 64 years,Male,Doctorate Degree,129,61359
1993,65 years and over,Male,Doctorate Degree,NA,NA
1993,18 to 24 years,Female,Doctorate Degree,NA,NA
1993,25 to 34 years,Female,Doctorate Degree,NA,NA
1993,35 to 44 years,Female,Doctorate Degree,87,53555
1993,45 to 54 years,Female,Doctorate Degree,93,53397
1993,55 to 64 years,Female,Doctorate Degree,NA,NA
1993,65 years and over,Female,Doctorate Degree,NA,NA
1993,18 to 24 years,Male,9th to 12th Grade (no diploma),399,15812
1993,25 to 34 years,Male,9th to 12th Grade (no diploma),1113,19796
1993,35 to 44 years,Male,9th to 12th Grade (no diploma),739,24755
1993,45 to 54 years,Male,9th to 12th Grade (no diploma),624,26398
1993,55 to 64 years,Male,9th to 12th Grade (no diploma),511,28200
1993,65 years and over,Male,9th to 12th Grade (no diploma),96,22468
1993,18 to 24 years,Female,9th to 12th Grade (no diploma),147,11792
1993,25 to 34 years,Female,9th to 12th Grade (no diploma),376,14108
1993,35 to 44 years,Female,9th to 12th Grade (no diploma),404,14940
1993,45 to 54 years,Female,9th to 12th Grade (no diploma),436,17078
1993,55 to 64 years,Female,9th to 12th Grade (no diploma),312,28018
1993,65 years and over,Female,9th to 12th Grade (no diploma),NA,NA
1993,18 to 24 years,Male,"Some College, No Degree",1012,18194
1993,25 to 34 years,Male,"Some College, No Degree",2770,28135
1993,35 to 44 years,Male,"Some College, No Degree",2953,36005
1993,45 to 54 years,Male,"Some College, No Degree",1856,42060
1993,55 to 64 years,Male,"Some College, No Degree",760,39735
1993,65 years and over,Male,"Some College, No Degree",152,28864
1993,18 to 24 years,Female,"Some College, No Degree",863,15796
1993,25 to 34 years,Female,"Some College, No Degree",2060,21499
1993,35 to 44 years,Female,"Some College, No Degree",2065,24215
1993,45 to 54 years,Female,"Some College, No Degree",1496,24987
1993,55 to 64 years,Female,"Some College, No Degree",572,26339
1993,65 years and over,Female,"Some College, No Degree",83,20780
1994,18 to 24 years,Male,Less than 9th Grade,184,12149
1994,25 to 34 years,Male,Less than 9th Grade,456,17622
1994,35 to 44 years,Male,Less than 9th Grade,484,17576
1994,45 to 54 years,Male,Less than 9th Grade,460,24421
1994,55 to 64 years,Male,Less than 9th Grade,371,23855
1994,65 years and over,Male,Less than 9th Grade,124,17326
1994,18 to 24 years,Female,Less than 9th Grade,NA,NA
1994,25 to 34 years,Female,Less than 9th Grade,128,12220
1994,35 to 44 years,Female,Less than 9th Grade,164,14153
1994,45 to 54 years,Female,Less than 9th Grade,184,14297
1994,55 to 64 years,Female,Less than 9th Grade,173,12541
1994,65 years and over,Female,Less than 9th Grade,NA,NA
1994,18 to 24 years,Male,High School Graduate (includes equivalency),1808,17462
1994,25 to 34 years,Male,High School Graduate (includes equivalency),5005,26363
1994,35 to 44 years,Male,High School Graduate (includes equivalency),5025,31452
1994,45 to 54 years,Male,High School Graduate (includes equivalency),3151,35975
1994,55 to 64 years,Male,High School Graduate (includes equivalency),1642,35373
1994,65 years and over,Male,High School Graduate (includes equivalency),274,28433
1994,18 to 24 years,Female,High School Graduate (includes equivalency),1011,14673
1994,25 to 34 years,Female,High School Graduate (includes equivalency),3083,19581
1994,35 to 44 years,Female,High School Graduate (includes equivalency),3401,21321
1994,45 to 54 years,Female,High School Graduate (includes equivalency),2753,23217
1994,55 to 64 years,Female,High School Graduate (includes equivalency),1373,21770
1994,65 years and over,Female,High School Graduate (includes equivalency),168,22457
1994,18 to 24 years,Male,Associate Degree,202,20716
1994,25 to 34 years,Male,Associate Degree,1205,31400
1994,35 to 44 years,Male,Associate Degree,1305,40198
1994,45 to 54 years,Male,Associate Degree,905,44682
1994,55 to 64 years,Male,Associate Degree,290,47127
1994,65 years and over,Male,Associate Degree,NA,NA
1994,18 to 24 years,Female,Associate Degree,229,16255
1994,25 to 34 years,Female,Associate Degree,1126,24068
1994,35 to 44 years,Female,Associate Degree,1094,28855
1994,45 to 54 years,Female,Associate Degree,698,28297
1994,55 to 64 years,Female,Associate Degree,251,27726
1994,65 years and over,Female,Associate Degree,NA,NA
1994,18 to 24 years,Male,Bachelor's Degree,322,21823
1994,25 to 34 years,Male,Bachelor's Degree,3124,38194
1994,35 to 44 years,Male,Bachelor's Degree,3162,54927
1994,45 to 54 years,Male,Bachelor's Degree,2312,62326
1994,55 to 64 years,Male,Bachelor's Degree,852,74413
1994,65 years and over,Male,Bachelor's Degree,186,65689
1994,18 to 24 years,Female,Bachelor's Degree,424,22573
1994,25 to 34 years,Female,Bachelor's Degree,2402,30599
1994,35 to 44 years,Female,Bachelor's Degree,1911,37198
1994,45 to 54 years,Female,Bachelor's Degree,1170,38920
1994,55 to 64 years,Female,Bachelor's Degree,364,32385
1994,65 years and over,Female,Bachelor's Degree,NA,NA
1994,18 to 24 years,Male,Master's Degree,NA,NA
1994,25 to 34 years,Male,Master's Degree,604,45317
1994,35 to 44 years,Male,Master's Degree,1098,68286
1994,45 to 54 years,Male,Master's Degree,1121,64467
1994,55 to 64 years,Male,Master's Degree,344,62185
1994,65 years and over,Male,Master's Degree,NA,NA
1994,18 to 24 years,Female,Master's Degree,NA,NA
1994,25 to 34 years,Female,Master's Degree,482,37413
1994,35 to 44 years,Female,Master's Degree,733,46926
1994,45 to 54 years,Female,Master's Degree,725,45150
1994,55 to 64 years,Female,Master's Degree,201,44868
1994,65 years and over,Female,Master's Degree,NA,NA
1994,18 to 24 years,Male,Professional Degree,NA,NA
1994,25 to 34 years,Male,Professional Degree,218,55203
1994,35 to 44 years,Male,Professional Degree,468,118152
1994,45 to 54 years,Male,Professional Degree,382,110602
1994,55 to 64 years,Male,Professional Degree,154,96486
1994,65 years and over,Male,Professional Degree,NA,NA
1994,18 to 24 years,Female,Professional Degree,NA,NA
1994,25 to 34 years,Female,Professional Degree,106,45890
1994,35 to 44 years,Female,Professional Degree,168,103141
1994,45 to 54 years,Female,Professional Degree,87,64183
1994,55 to 64 years,Female,Professional Degree,NA,NA
1994,65 years and over,Female,Professional Degree,NA,NA
1994,18 to 24 years,Male,Doctorate Degree,NA,NA
1994,25 to 34 years,Male,Doctorate Degree,95,47878
1994,35 to 44 years,Male,Doctorate Degree,241,86396
1994,45 to 54 years,Male,Doctorate Degree,328,102619
1994,55 to 64 years,Male,Doctorate Degree,164,69253
1994,65 years and over,Male,Doctorate Degree,NA,NA
1994,18 to 24 years,Female,Doctorate Degree,NA,NA
1994,25 to 34 years,Female,Doctorate Degree,NA,NA
1994,35 to 44 years,Female,Doctorate Degree,106,51261
1994,45 to 54 years,Female,Doctorate Degree,104,65720
1994,55 to 64 years,Female,Doctorate Degree,NA,NA
1994,65 years and over,Female,Doctorate Degree,NA,NA
1994,18 to 24 years,Male,9th to 12th Grade (no diploma),433,15820
1994,25 to 34 years,Male,9th to 12th Grade (no diploma),989,20594
1994,35 to 44 years,Male,9th to 12th Grade (no diploma),846,24089
1994,45 to 54 years,Male,9th to 12th Grade (no diploma),656,26745
1994,55 to 64 years,Male,9th to 12th Grade (no diploma),456,30380
1994,65 years and over,Male,9th to 12th Grade (no diploma),110,21596
1994,18 to 24 years,Female,9th to 12th Grade (no diploma),175,9516
1994,25 to 34 years,Female,9th to 12th Grade (no diploma),439,14364
1994,35 to 44 years,Female,9th to 12th Grade (no diploma),494,15416
1994,45 to 54 years,Female,9th to 12th Grade (no diploma),434,17530
1994,55 to 64 years,Female,9th to 12th Grade (no diploma),272,18351
1994,65 years and over,Female,9th to 12th Grade (no diploma),NA,NA
1994,18 to 24 years,Male,"Some College, No Degree",998,17072
1994,25 to 34 years,Male,"Some College, No Degree",2793,29922
1994,35 to 44 years,Male,"Some College, No Degree",3010,36298
1994,45 to 54 years,Male,"Some College, No Degree",1984,40787
1994,55 to 64 years,Male,"Some College, No Degree",811,41595
1994,65 years and over,Male,"Some College, No Degree",184,29880
1994,18 to 24 years,Female,"Some College, No Degree",868,16335
1994,25 to 34 years,Female,"Some College, No Degree",1938,22023
1994,35 to 44 years,Female,"Some College, No Degree",2080,25976
1994,45 to 54 years,Female,"Some College, No Degree",1532,27131
1994,55 to 64 years,Female,"Some College, No Degree",613,24327
1994,65 years and over,Female,"Some College, No Degree",91,20128
1995,18 to 24 years,Male,Less than 9th Grade,195,15137
1995,25 to 34 years,Male,Less than 9th Grade,420,16288
1995,35 to 44 years,Male,Less than 9th Grade,512,19824
1995,45 to 54 years,Male,Less than 9th Grade,433,21003
1995,55 to 64 years,Male,Less than 9th Grade,447,23149
1995,65 years and over,Male,Less than 9th Grade,133,20925
1995,18 to 24 years,Female,Less than 9th Grade,NA,NA
1995,25 to 34 years,Female,Less than 9th Grade,174,13538
1995,35 to 44 years,Female,Less than 9th Grade,217,14504
1995,45 to 54 years,Female,Less than 9th Grade,193,14810
1995,55 to 64 years,Female,Less than 9th Grade,165,15948
1995,65 years and over,Female,Less than 9th Grade,NA,NA
1995,18 to 24 years,Male,High School Graduate (includes equivalency),1904,17816
1995,25 to 34 years,Male,High School Graduate (includes equivalency),4731,27440
1995,35 to 44 years,Male,High School Graduate (includes equivalency),5336,32689
1995,45 to 54 years,Male,High School Graduate (includes equivalency),3221,36886
1995,55 to 64 years,Male,High School Graduate (includes equivalency),1798,36546
1995,65 years and over,Male,High School Graduate (includes equivalency),245,51797
1995,18 to 24 years,Female,High School Graduate (includes equivalency),1028,14169
1995,25 to 34 years,Female,High School Graduate (includes equivalency),2783,20091
1995,35 to 44 years,Female,High School Graduate (includes equivalency),3701,22257
1995,45 to 54 years,Female,High School Graduate (includes equivalency),2947,22982
1995,55 to 64 years,Female,High School Graduate (includes equivalency),1438,22703
1995,65 years and over,Female,High School Graduate (includes equivalency),191,22117
1995,18 to 24 years,Male,Associate Degree,229,20450
1995,25 to 34 years,Male,Associate Degree,1308,31097
1995,35 to 44 years,Male,Associate Degree,1388,41433
1995,45 to 54 years,Male,Associate Degree,957,43287
1995,55 to 64 years,Male,Associate Degree,244,45203
1995,65 years and over,Male,Associate Degree,NA,NA
1995,18 to 24 years,Female,Associate Degree,218,18496
1995,25 to 34 years,Female,Associate Degree,1046,25870
1995,35 to 44 years,Female,Associate Degree,1166,31025
1995,45 to 54 years,Female,Associate Degree,805,29765
1995,55 to 64 years,Female,Associate Degree,283,32605
1995,65 years and over,Female,Associate Degree,NA,NA
1995,18 to 24 years,Male,Bachelor's Degree,345,25565
1995,25 to 34 years,Male,Bachelor's Degree,3107,42734
1995,35 to 44 years,Male,Bachelor's Degree,3124,57196
1995,45 to 54 years,Male,Bachelor's Degree,2351,57323
1995,55 to 64 years,Male,Bachelor's Degree,862,62768
1995,65 years and over,Male,Bachelor's Degree,153,51118
1995,18 to 24 years,Female,Bachelor's Degree,412,22610
1995,25 to 34 years,Female,Bachelor's Degree,2603,31066
1995,35 to 44 years,Female,Bachelor's Degree,2117,36901
1995,45 to 54 years,Female,Bachelor's Degree,1271,36420
1995,55 to 64 years,Female,Bachelor's Degree,387,35597
1995,65 years and over,Female,Bachelor's Degree,NA,NA
